descricao
"** Aprovado o Requerimento do Dep. Daniel Coelho (PSDB-PE), que solicita preferência para apreciação do PL nº 7.699/2006, item 3, sobre os demais itens da pauta."
"** Aprovado o Requerimento do Dep. Jovair Arantes, Líder do PTB, que solicita preferência para apreciação do Projeto de Lei nº 4.246/2012, item 6, sobre os demais itens da pauta."
"** Aprovado o Requerimento do Dep. Paulo Teixeira, na qualidade de Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte sequência: 1º) PL nº 6.459 de 2013; 2º) PL nº 1.805 de 2015; 3º) PL nº 3.490 de 2012; 4º) PLP nº 163 de 2015; 5º) PL nº 466 de 2015; 6º) PL nº 3.561 de 2015; 7º) PRC nº 109 de 2015; 8º) PL nº 1.428 de 1999; 9) PRC nº 8 de 2007; seguidos dos demais itens."
"** Aprovado o Requerimento do Dep. Paulo Teixeira, na qualidade de Líder do Governo, que solicita preferência para apreciação da ordem do dia na seguinte sequência: 1º) PL nº 6.459 de 2013; 2º) PL nº 1.805 de 2015; 3º) PL nº 3.490 de 2012; 4º) PLP nº 163 de 2015; 5º) PL nº 466 de 2015; 6º) PL nº 3.561 de 2015; 7º) PRC nº 109 de 2015; 8º) PL nº 1.428 de 1999; 9º) PRC nº 8 de 2007; seguidos dos demais itens."
** Aprovado o Requerimento.
"** Rejeitado o Requerimento do Dep. Ságuas Moraes, na qualidade de Líder do PT, que solicita inversão da pauta, para que o Projeto de Lei nº 2.479/2000 seja votado primeiramente, renumerando-se os demais itens da pauta."
"*** Aprovado o Requerimento do Dep. Onyx Lorenzoni, na qualidade de Líder  do DEM, que solicita preferência para apreciação do PDC nº 84 de 2015 sobre os demais itens da pauta."
"*** Aprovado o Requerimento do Dep. Onyx Lorenzoni, na qualidade de Líder do DEM, que solicita preferência para apreciação do PDC nº 84 de 2015 sobre os demais itens da pauta."
*** Aprovado o Requerimento do Dep. Simão Sessim (PP-RJ) que solicita preferência para apreciação do PL nº 7.664/2014 sobre os demais itens da pauta.
"*** Rejeitada a modificação na Ordem do Dia decorrente de consulta formulada pelo Presidente, nos termos do § 1º do art. 160 do Regimento Interno, em face do encaminhamento, à Mesa, de mais de cinco requerimentos de preferência."
"*** Votação, em turno único, do Projeto de Lei nº 3.232 de 1992, principal (Sessão Deliberativa Ordinária de 20/10/2015). 
Encaminhou a Votação o Dep. Afonso Florence (PT-BA). 
Votação do requerimento da bancada do PR, que solicita DESTAQUE DE PREFERÊNCIA PARA O PROJETO DE LEI Nº 6.446/2013, APENSADO - DTQ 3. 
APROVADO O DESTAQUE DE PREFERÊNCIA. 
Prejudicado o destaque de preferência da bancada do PCdoB, para votação do Projeto de Lei nº 6.446/2013, apensado - DTQ 4. 
Rejeitadas as Emendas de Plenário nºs 1 e 2, com pareceres pela rejeição, ressalvados os destaques. 
Em razão do resultado proclamado pela Mesa: ""Aprovado o Projeto de Lei nº 6.446 de 2013"" (em processo simbólico), foi solicitada a verificação da votação pelos Deputados Daniel Coelho, na qualidade de Líder do PSDB; e Alex Manente (PPS-SP), passando-se à sua votação pelo processo nominal. 
APROVADO O PROJETO DE LEI Nº 6.446 DE 2013, APENSADO, ressalvados os destaques. Sim: 318; não: 79; abstenção: 1; total: 398.  
Ficam prejudicados o Projeto de Lei nº 3.232/1992, principal; o Substitutivo da Comissão de Seguridade Social e Família; o Substitutivo da Comissão de Constituição e Justiça e de Cidadania; e os Projetos de Lei de nºs 6.045/90, 192/91, 276/91, 506/91, 750/91, 1.439/91, 1.539/91, 2.065/91, 2.735/92, 2.741/92, 3.779/97, 4.667/98, 592/99, 2.937/00, 3.562/04. 5.322/09, 1.112/11, 1.744/11, 2.270/11, 2.450/11, 3.406/12, 3.523/12 e 7.175/14, apensados, ressalvados os destaques. 
Votação do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado, objeto do destaque para votação em separado da bancada do Bloco PP,PROS (bloco conforme data da apresentação do destaque) - DTQ 1. 
Encaminharam a Votação: Dep. Wadih Damous (PT-RJ) e Dep. Damião Feliciano (PDT-PB). 
Suprimido o texto destacado. 
Prejudicado o destaque da bancada do PSDB, para votação em separado do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado - DTQ 5. 
Prejudicado o destaque da bancada do DEM, para votação em separado do § 3º do art. 5º do Projeto de Lei nº 6.446/2013, apensado - DTQ 9. 
Votação da Emenda de Plenário nº 2, objeto do destaque da bancada do PSD - DTQ 10. 
Encaminhou a Votação o Dep. Wadih Damous (PT-RJ). 
Rejeitada a Emenda de Plenário nº 2. 
Votação da Emenda de Plenário nº 1, objeto do destaque da bancada do Bloco PP,PROS (bloco conforme data da apresentação do destaque) - DTQ 2. 
Encaminharam a Votação: Dep. Wadih Damous (PT-RJ) e Dep. Pompeo de Mattos (PDT-RS). 
Rejeitada a Emenda de Plenário nº 1. Sim: 206; não: 219; abstenção: 1; total: 426 (votação nominal, de ofício)
Prejudicado o destaque da bancada do DEM, para votação da Emenda de Plenário nº 1 - DTQ 7. 
Votação da expressão ""em juízo colegiado prévio"" constante do art. 10 do Projeto de Lei nº 6.446/2013, apensado, objeto do destaque para votação em separado da bancada do PSDB - DTQ 6. 
Em razão do resultado proclamado pela Mesa: ""Mantida a expressão"" (em processo simbólico), foi solicitada a verificação da votação pelo Deputado Daniel Coelho, na qualidade de Líder do PSDB, passando-se à sua votação pelo processo nominal.
Mantida a expressão destacada. Sim: 273; não: 145; abstenção: 1; total: 419.
Votação do art. 2º do Projeto de Lei nº 7.175/2014, apensado, para incluir o referido dispositivo onde couber, objeto do destaque para votação em separado da bancada do PSB - DTQ 8. 
Encaminhou a Votação o Dep. Heitor Schuch (PSB-RS). 
"Aprovada a Redação Final assinada pela relatora, Dep. Delegada Adriana Accorsi (PT-GO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Delegada Ione (AVANTE-MG)."
"Aprovada a Redação Final assinada pela relatora, Dep. Delegada Katarina (PSD-SE)."
"Aprovada a Redação Final assinada pela relatora, Dep. Erika Kokay (PT-DF)."
"Aprovada a Redação Final assinada pela relatora, Dep. Erika Kokay (PT/DF)."
"Aprovada a Redação Final assinada pela relatora, Dep. Flávia Morais (PDT-GO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Flávia Morais (PDT/GO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Gisela Simona (UNIÃO-MT)."
"Aprovada a Redação Final assinada pela relatora, Dep. Helena Lima (MDB-RR)."
"Aprovada a Redação Final assinada pela relatora, Dep. Jack Rocha (PT-ES)."
"Aprovada a Redação Final assinada pela relatora, Dep. Jandira Feghali (PCdoB-RJ)."
"Aprovada a Redação Final assinada pela relatora, Dep. Jaqueline Cassol (PP-RO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Julia Zanatta (PL/SC)."
"Aprovada a Redação Final assinada pela relatora, Dep. Laura Carneiro (PSD-RJ)."
"Aprovada a Redação Final assinada pela relatora, Dep. Luizianne Lins (PT-CE)."
"Aprovada a Redação Final assinada pela relatora, Dep. Lêda Borges (PSDB-GO) ."
"Aprovada a Redação Final assinada pela relatora, Dep. Lídice da Mata (PSB-BA)."
"Aprovada a Redação Final assinada pela relatora, Dep. Maria Arraes (SOLIDARI-PE)."
"Aprovada a Redação Final assinada pela relatora, Dep. Maria Rosas (REPUBLIC-SP)."
"Aprovada a Redação Final assinada pela relatora, Dep. Marussa Boldrin (MDB-GO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Marussa Boldrin (MDB/GO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Nely Aquino (PODE-MG)."
"Aprovada a Redação Final assinada pela relatora, Dep. Professora Goreth (PDT-AP)."
"Aprovada a Redação Final assinada pela relatora, Dep. Renilce Nicodemos (MDB-PA)."
"Aprovada a Redação Final assinada pela relatora, Dep. Silvia Waiãpi (PL-AP)."
"Aprovada a Redação Final assinada pela relatora, Dep. Silvye Alves (UNIÃO-GO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Silvye Alves (União-GO)."
"Aprovada a Redação Final assinada pela relatora, Dep. Socorro Neri (PP-AC)."
"Aprovada a Redação Final assinada pela relatora, Dep. Sonize Barbosa (PL-AP)."
"Aprovada a Redação Final assinada pela relatora, Dep. Soraya Santos (PL/RJ)."
"Aprovada a Redação Final assinada pela relatora, Dep. Sâmia Bomfim (PSOL-SP)."
"Aprovada a Redação Final assinada pela relatora, Dep. Tabata Amaral (PSB-SP)."
"Aprovada a Redação Final assinada pela relatora, Dep. Tabata Amaral (PSB/SP)."
"Aprovada a Redação Final assinada pela relatora, Dep. Yandra Moura (UNIÃO-SE)."
Aprovada a Redação Final assinada pelo Dep. Adolfo Viana (PSDB-BA).
Aprovada a Redação Final assinada pelo Dep. Arnaldo Faria de Sá (PTB-SP).
"Aprovada a Redação Final assinada pelo Dep. Fábio Trad (PSD-MS), membro da Comissão de Constituição e Justiça e de Cidadania."
Aprovada a Redação Final assinada pelo Dep. Fábio Trad (PSD-MS).
Aprovada a Redação Final assinada pelo Dep. Rui Falcão (PT-SP).
Aprovada a Redação Final assinada pelo Relator Dep. Colbert Martins (PMDB-BA).
Aprovada a Redação Final assinada pelo Relator Dep. Odair Cunha (PT/MG).
Aprovada a Redação Final assinada pelo Relator Dep. Prof. Reginaldo Veras (PV-DF).
Aprovada a Redação Final assinada pelo Relator Dep. Rubens Pereira Júnior (PT-MA).
"Aprovada a Redação Final assinada pelo Relator, Dep Sibá Machado (PT-AC)."
"Aprovada a Redação Final assinada pelo Relator, Dep."
"Aprovada a Redação Final assinada pelo Relator, Dep.  Bacelar (PODE-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. (Antonio Brito, PSD/BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Acácio Favacho (PROS-AP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Adail Carneiro (PP-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Afonso Florence (PT-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Afonso Hamm (PP-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alberto Fraga (DEM - DF). Sim: 268; não: 2; abstenção: 1; total: 271."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alberto Fraga (DEM-DF)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alceu Moreira (PMDB - RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alceu Moreira (PMDB-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Aldo Rebelo (PCdoB/SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alencar Santana (PT-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alessandro Molon (PT-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alex Manente (CIDADANIA-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alex Manente (PPS-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alexandre Baldy (PODE-GO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alexandre Baldy (PTN-GO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alexandre Frota (PSDB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alexandre Frota."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alexandre Leite (DEM-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alexandre Padilha (PT-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Alfredo Gaspar (UNIÃO-AL)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Aline Sleutjes (PROS-PR)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Altineu Côrtes (PL-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Amauri Teixeira (PT-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Amom Mandel (CIDADANIA-AM)."
"Aprovada a Redação Final assinada pelo Relator, Dep. André Figueiredo (PDT - CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. André Figueiredo (PDT-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. André Fufuca (PP-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. André Janones (AVANTE-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. André de Paula (PSD-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Angelo Vanhoni (PT-PR)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antonio Brito (PSD-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antonio Carlos Biscaia (PT-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antonio Carlos Biscaia (PT-RJ). DCD 07 05 09 PAG 17465 COL 01."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antonio Carlos Magalhães Neto (DEM-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antonio Carlos Mendes Thame (PSDB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antonio Palocci (PT-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antônio Carlos Biscaia (PT-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Antônio Palocci (PT-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arlindo Chinaglia(PT-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Faria De Sá (PTB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Faria de Sá (PP-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Faria de Sá (PTB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Faria de Sá (PTB-SP). DCD 07 05 09 PAG 17527 COL 02."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Faria de Sá (PTB/SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Jardim (CIDADANIA-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Jardim (CIDADANIA/SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Jardim (Cidadania-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arnaldo Jordy (PPS-PA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arthur Lira (PP-AL)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arthur Oliveira Maia (PMDB-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arthur Oliveira Maia (PPS-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arthur Oliveira Maia (SD-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arthur Oliveira Maia (SD/BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Arthur Oliveira Maia (UNIÃO-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Asdrubal Bentes (PMDB-PA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Augusto Carvalho (PPS-DF)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Augusto Coutinho (Solidariedade - PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Aureo Ribeiro (SOLIDARIEDADE/RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Aécio Neves (PSDB-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Bacelar (PV-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Baleia Rossi (MDB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Baleia Rossi (PMDB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Bandeira de Mello (PSB-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Beto Albuquerque (PSB-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Beto Pereira (PSDB-MS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Bira do Pindaré (PSB-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Bohn Gass, (PT/RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Bosco Saraiva (SOLIDARI-AM)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Bruno Araújo (PSDB-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Bruno Araújo (PSDB/PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Cabo Juliano Rabelo (PSB/MT)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Camilo Capiberibe (PSB-AP)"
"Aprovada a Redação Final assinada pelo Relator, Dep. Camilo Capiberibe (PSB-AP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Capitão Alberto Neto (PL-AM)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Capitão Alberto Neto (REPUBLIC-AM)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Capitão Augusto (PL-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Capitão Derrite (PL-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Capitão Wagner (PROS-CE)"
"Aprovada a Redação Final assinada pelo Relator, Dep. Capitão Wagner (PROS-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Bezerra (MDB-MT)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Bezerra (PMDB-MT)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Henrique Gaguim (PMDB-TO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Jordy (PSL-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Willian (PTC-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Willlian (PTC-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Zarattini (PT-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Carlos Zarattini (PT-SPI)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Celso Russomanno (PRB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Celso Sabino (PSDB-PA)"
"Aprovada a Redação Final assinada pelo Relator, Dep. Celso Sabino (PSDB-PA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Celso Sabino (União-PA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Cezinha de Madureira (PSD-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Charlles Evangelista (PP-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Chico Lopes (PCdoB-CE)"
"Aprovada a Redação Final assinada pelo Relator, Dep. Christino Aureo (PP-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Ciro Gomes (PSB-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Cleber Verde (PRB-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Cláudio Cajado (DEM-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Colbert Martins (PMDB-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Colbert Martins (PMDB-BA). DCD 07 05 09 PAG 17468 COL 01."
"Aprovada a Redação Final assinada pelo Relator, Dep. Coronel Meira (PL-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Covatti Filho (PP-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Célio Silveira (PSDB-GO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Célio Studart (PV-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Daniel Almeida (PCdoB-BA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Daniel Coelho (Cidadania-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Daniel Coelho (PSDB-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Daniel Trzeciak (PSDB-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Daniel Vilela (PMDB-GO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Danilo Cabral (PSB-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Danilo Forte (PMDB-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Danilo Forte (PMDB/CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Darci de Matos (PSD-SC)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Darcísio Perondi (MDB-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Darcísio Perondi (PMDB-RS)"
"Aprovada a Redação Final assinada pelo Relator, Dep. Darcísio Perondi (PMDB-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Defensor Stélio Dener (REPUBLIC-RR)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Delegado Francischini (SD-PR)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Denis Bezerra (PSB-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dep. Alexandre Leite (DEM-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dep. Eduardo Bismarck (PDT-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dep. Givaldo Carimbão (PSB-AL)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dep. Neri Geller (PP-MT). Sim: 290; não: 115; total: 405."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dep. Wilson Santiago (REPUBLIC-PB)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Diego Garcia (REPUBLICANOS-PR)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Diego Garcia (Republicanos-PR)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Domingos Dutra (SD-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Doutor Luizinho (PP-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dr. Frederico (PATRIOTA-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dr. Grilo (SDD-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dr. Luiz Antonio Teixeira Jr. (PP-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dr. Nechar (PP-SP). DCD de 11/03/10 PÁG 7914 COL 01."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dr. Ubiali (PSB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Dr. Zacharias Calil (DEM-GO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Duarte Jr. (PSB-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Décio Lima (PT-SC)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Edinho Araújo (PMDB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Edinho Bez (PMDB-SC)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Edmar Moreira (DEM-MG). DCD 17 06 09 PAG 30098 COL 01."
"Aprovada a Redação Final assinada pelo Relator, Dep. Edmilson Valentim (PCdoB-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eduardo Barbosa (PSDB-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eduardo Bismarck (PDT-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eduardo Cunha (PMDB-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eduardo Cury (PSDB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eduardo Valverde (PT-RO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Efraim Filho (DEM-PB)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eli Borges (PL-TO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eli Borges (SOLIDARIEDADE/TO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eliseu Padilha (PMDB-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Eliseu Padilha (PMDB-RS). DCD 29 10 09 PAG 59858 COL 01."
"Aprovada a Redação Final assinada pelo Relator, Dep. Enrico Misasi (PV-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Esperidião Amin (PP-SC)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Esperidião Amin (PP/SC)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Evair Vieira de Melo (PP-ES)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Expedito Netto (PSD-RO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fabiano Tolentino (CIDADANIA-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fabio Ramalho (PV-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fabio Trad (PMDB-MS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fausto Pinato (PRB-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Felipe Becari (União-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Felipe Carreras (PSB-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Felipe Maia (DEM-RN)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Felipe Rigoni (PSB-ES)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Felipe Rigoni (União-ES)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Felício Laterça (PSL-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fernando Coelho Filho (DEM-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fernando Coelho Filho (PSB-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fernando Coruja (PPS-SC)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fernando Ferro (PT-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fernando Ferro (PT-PE). DCD 29 10 09 PAG 59941 COL 01."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fernando Francischini (SDD-PR)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Flávio Bezerra (PMDB-CE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Flávio Dino (PCdoB-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Francisco Tenorio (PMN-AL)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Franco Cartafina (PP-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fred Costa (PATRIOTA-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fred Costa (Patriota-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fábio Ramalho (MDB - MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fábio Ramalho (PMDB-MG)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fábio Sousa (PSDB-GO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fábio Trad (PMDB-MS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fábio Trad (PSD-MS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Fábio Trad (PSD/MS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gastão Vieira (PROS-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. General Peternelli (PSL-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Geninho Zuliani (DEM-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Geraldo Pudim (PMDB-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gil Cutrim (PDT-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gil Cutrim (Republic-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gil Cutrim (Republicanos-MA)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Giovani Cherini (PL-RS)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gonzaga Patriota (PSB-PE)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Guilherme Campos (PSD-SP)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gurgel (PSL-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gurgel."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gustavo Gayer (PL-GO)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gutemberg Reis (MDB-RJ)."
"Aprovada a Redação Final assinada pelo Relator, Dep. Gutemberg Reis (MDB/RJ)."
